"Mppcv";"Mppnm_";"Link2MPG";"Link2PVT"
"4486130";"Ezetimibe / Simvastatine EG 10/80 tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=155440";"http://www.bcfi.be/nl/contents/jump?amppid=155440&view=pvt"
"4279915";"Ezetimibe / Simvastatine Teva 10/10 tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=161927";"http://www.bcfi.be/nl/contents/jump?amppid=161927&view=pvt"
"4279923";"Ezetimibe / Simvastatine Teva 10/20 tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=161877";"http://www.bcfi.be/nl/contents/jump?amppid=161877&view=pvt"
"4279931";"Ezetimibe / Simvastatine Teva 10/40 tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=161893";"http://www.bcfi.be/nl/contents/jump?amppid=161893&view=pvt"
"3733250";"Ezetimibe / Simvastatine Viatris 10/20 tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=157727";"http://www.bcfi.be/nl/contents/jump?amppid=157727&view=pvt"
"3733243";"Ezetimibe / Simvastatine Viatris 10/40 tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=157735";"http://www.bcfi.be/nl/contents/jump?amppid=157735&view=pvt"
"3733235";"Ezetimibe / Simvastatine Viatris 10/80 tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=157743";"http://www.bcfi.be/nl/contents/jump?amppid=157743&view=pvt"
"3961562";"Ezetimibe / Simvastatin Krka 10/10 tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=165027";"http://www.bcfi.be/nl/contents/jump?amppid=165027&view=pvt"
"3961570";"Ezetimibe / Simvastatin Krka 10/20 tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=165001";"http://www.bcfi.be/nl/contents/jump?amppid=165001&view=pvt"
"3961588";"Ezetimibe / Simvastatin Krka 10/40 tabl. 98 x";"http://www.bcfi.be/nl/contents/jump?amppid=165019";"http://www.bcfi.be/nl/contents/jump?amppid=165019&view=pvt"
"4394300";"Ezetimibe Teva tabl. 100 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=155341";"http://www.bcfi.be/nl/contents/jump?amppid=155341&view=pvt"
"4394292";"Ezetimibe Teva tabl. 30 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=155333";"http://www.bcfi.be/nl/contents/jump?amppid=155333&view=pvt"
"4715231";"Ezetimibe Viatris (PI-Pharma) tabl. 100 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=193391";"http://www.bcfi.be/nl/contents/jump?amppid=193391&view=pvt"
"3645140";"Ezetimibe Viatris tabl. 100 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=156265";"http://www.bcfi.be/nl/contents/jump?amppid=156265&view=pvt"
"2042042";"Ezetrol tabl. 98 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=31302";"http://www.bcfi.be/nl/contents/jump?amppid=31302&view=pvt"
"3586542";"Ezgal omh. tabl. (deelb.) 98 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=156489";"http://www.bcfi.be/nl/contents/jump?amppid=156489&view=pvt"
"3003688";"Eziclen 17,51/3,276/3,13 oploss. (conc.) 2 x 176 ml";"http://www.bcfi.be/nl/contents/jump?amppid=139493";"http://www.bcfi.be/nl/contents/jump?amppid=139493&view=pvt"
"4840187";"Fabhalta harde caps. 56 x 200 mg";"http://www.bcfi.be/nl/contents/jump?amppid=197681";"http://www.bcfi.be/nl/contents/jump?amppid=197681&view=pvt"
"1687748";"Fabrazyme inf. oploss. conc. (pdr.) i.v. [flac.] 1 x 35 mg";"http://www.bcfi.be/nl/contents/jump?amppid=27789";"http://www.bcfi.be/nl/contents/jump?amppid=27789&view=pvt"
"2496024";"Fabrazyme inf. oploss. conc. (pdr.) i.v. [flac.] 1 x 5 mg";"http://www.bcfi.be/nl/contents/jump?amppid=45591";"http://www.bcfi.be/nl/contents/jump?amppid=45591&view=pvt"
"4965059";"Fampyra tabl. verl. afgifte 56 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=140848";"http://www.bcfi.be/nl/contents/jump?amppid=140848&view=pvt"
"1405224";"Farmorubicine inf./instill. oploss. i.v./i.vesic. [flac.] 1 x 10 mg / 5 ml";"http://www.bcfi.be/nl/contents/jump?amppid=20073";"http://www.bcfi.be/nl/contents/jump?amppid=20073&view=pvt"
"2222941";"Farmorubicine inf./instill. oploss. i.v./i.vesic. [flac.] 1 x 200 mg / 100 ml";"http://www.bcfi.be/nl/contents/jump?amppid=36970";"http://www.bcfi.be/nl/contents/jump?amppid=36970&view=pvt"
"1405232";"Farmorubicine inf./instill. oploss. i.v./i.vesic. [flac.] 1 x 50 mg / 25 ml";"http://www.bcfi.be/nl/contents/jump?amppid=20081";"http://www.bcfi.be/nl/contents/jump?amppid=20081&view=pvt"
"4239695";"Fasenra (Abacus) inj. oploss. s.c. [voorgev. pen] 1 x 30 mg / 1 ml";"http://www.bcfi.be/nl/contents/jump?amppid=174136";"http://www.bcfi.be/nl/contents/jump?amppid=174136&view=pvt"
"4169637";"Fasenra (Abacus) inj. oploss. s.c. [voorgev. spuit] 1 x 30 mg / 1 ml";"http://www.bcfi.be/nl/contents/jump?amppid=171728";"http://www.bcfi.be/nl/contents/jump?amppid=171728&view=pvt"
"4165619";"Fasenra inj. oploss. s.c. [voorgev. pen] 1 x 30 mg / 1 ml";"http://www.bcfi.be/nl/contents/jump?amppid=169706";"http://www.bcfi.be/nl/contents/jump?amppid=169706&view=pvt"
"3678448";"Fasenra inj. oploss. s.c. [voorgev. spuit] 1 x 30 mg / 1 ml";"http://www.bcfi.be/nl/contents/jump?amppid=157032";"http://www.bcfi.be/nl/contents/jump?amppid=157032&view=pvt"
"4996369";"Fasenra (Orifarm Belgium) inj. oploss. s.c. [voorgev. pen] 1 x 30 mg / 1 ml";"http://www.bcfi.be/nl/contents/jump?amppid=204610";"http://www.bcfi.be/nl/contents/jump?amppid=204610&view=pvt"
"1224906";"Fastum 2,5 % transderm. lok. gel 30 g 25 mg / 1 g";"http://www.bcfi.be/nl/contents/jump?amppid=136499";"http://www.bcfi.be/nl/contents/jump?amppid=136499&view=pvt"
