"GalCV";"NGalNm";"FGalNm";"Amb";"Hosp"
"00352";"inj. oploss. (pdr. + solv.) i.m./i.v. [flac. + amp.]";"sol. inj. (pdr + solv.) i.m./i.v. [flac. + amp.]";true;false
"00353";"cut. oploss. (alc.) Alcoholicus + Azorubine";"sol. cut. (alc.) Alcoholicus + Azorubine";true;false
"00354";"inj./inf. oploss. (pdr. + solv.) i.m./i.v. S.A.B. Act-O-Vial [flac.]";"sol. inj./perf. (pdr + solv.) i.m./i.v. S.A.B. Act-O-Vial [flac.]";true;false
"00355";"inf. disp. i.v. [zak]";"disp. perf. i.v. [sac]";true;false
"00356";"inj. oploss. (pdr.) s.c. [flac.]";"sol. inj. (pdr) s.c. [flac.]";true;false
"00357";"i.laes. implantatiematrix (pdr. + solv. + matrix)";"matrice pour implant. (pdr + solv. + matrice) i.lés.";true;false
"00358";"maagsapresist. tabl. Enteric Coated";"compr. gastro-résist. Enteric Coated";true;false
"00359";"i.vesic. susp. (pdr.) [flac.]";"susp. (pdr) i.vésic. [flac.]";true;false
"00360";"verband Plus";"pansement Plus";true;false
"00361";"kauwtabl. Munt";"compr. à croquer Menthe";true;false
"00362";"or./rect. susp. (pdr.)";"susp. (pdr) or./rect.";true;false
"00363";"harde caps. Volw.";"gél. Adulte";true;false
"00364";"inj./inf. oploss. i.v./epidur. Forte [amp.]";"sol. inj./perf. i.v./p.dural Forte [amp.]";true;false
"00365";"inj. susp. verl. afgifte i.m. [flac.]";"susp. inj. lib. prol. i.m. [flac.]";true;false
"00366";"inj. oploss. (pdr. + solv.) i.m. [2x flac.]";"sol. inj. (pdr + solv.) i.m. [2x flac.]";true;false
"00367";"cut. oploss. (alc.)";"sol. cut. (alc.)";true;false
"00368";"harde caps. Kind";"gél. Enfant";true;false
"00369";"inj. susp. verl. afgifte s.c. Press [voorgev. spuit]";"susp. inj. lib. prol. s.c. Press [ser. préremplie]";true;false
"00370";"maagsapresist. tabl. Enteric";"compr. gastro-résist. Enteric";true;false
