"mppcv";"Stofcv";"ppid";"hyr_";"hyrcv_";"mpcv_";"mppnm_";"ppq";"ppgal";"InRank";"StofNm_";"Dim";"InX";"InQ";"InU";"Add";"InBasQ";"InBasU";"InQ2";"InU2";"Amb";"Hosp"
"2719474";"01673";"1";"GBCA";"0006270";"6387-828";"Combodart 0,5/0,4 harde caps. geregul. afgifte 90x";0;"harde caps. geregul. afgifte";2;"tamsulosine hydrochloride";;;0.4000;"mg";;0.0000;;0.0000;;true;false
"3139409";"00577";"1";"GBCA";"0006270";"6387-1529";"Combodart (PI-Pharma) 0,5/0,4 harde caps. geregul. afgifte 90x";0;"harde caps. geregul. afgifte";1;"dutasteride";;;0.5000;"mg";;0.0000;;0.0000;;true;false
"3139409";"01673";"1";"GBCA";"0006270";"6387-1529";"Combodart (PI-Pharma) 0,5/0,4 harde caps. geregul. afgifte 90x";0;"harde caps. geregul. afgifte";2;"tamsulosine hydrochloride";;;0.4000;"mg";;0.0000;;0.0000;;true;false
"4613097";"01363";"1";"HBDE";"8903114";"46706-4382";"Combogesic 10/3 inf. oploss. i.v. [flac.] 10x100ml";0;"inf. oploss. i.v. [flac.]";1;"paracetamol";;;10.0000;"mg";"/";1.0000;"ml";0.0000;;true;false
"4613097";"02718";"1";"HBDE";"8903114";"46706-4382";"Combogesic 10/3 inf. oploss. i.v. [flac.] 10x100ml";0;"inf. oploss. i.v. [flac.]";2;"ibuprofen";;;3.0000;"mg";"/";1.0000;"ml";0.0000;;true;false
"3958741";"01363";"1";"HBDE";"8903114";"42515-1834";"Combophen 500/150 filmomh. tabl. (deelb.) 16x";0;"filmomh. tabl. (deelb. niet kwantit.)";1;"paracetamol";;;500.0000;"mg";;0.0000;;0.0000;;true;false
"3958741";"00888";"1";"HBDE";"8903114";"42515-1834";"Combophen 500/150 filmomh. tabl. (deelb.) 16x";0;"filmomh. tabl. (deelb. niet kwantit.)";2;"ibuprofen";;;150.0000;"mg";;0.0000;;0.0000;;true;false
"3958709";"01363";"1";"HBDE";"8903114";"42515-1834";"Combophen 500/150 filmomh. tabl. (deelb.) 32x";0;"filmomh. tabl. (deelb. niet kwantit.)";1;"paracetamol";;;500.0000;"mg";;0.0000;;0.0000;;true;false
"3958709";"00888";"1";"HBDE";"8903114";"42515-1834";"Combophen 500/150 filmomh. tabl. (deelb.) 32x";0;"filmomh. tabl. (deelb. niet kwantit.)";2;"ibuprofen";;;150.0000;"mg";;0.0000;;0.0000;;true;false
"1265586";"01990";"1";"ONBA";"0014753";"6403-2261";"Comfeel Plus verband 10x (10x10cm)";0;"verband";1;"geen actieve ingrediënten";"10 x 10 cm";;0.0000;;;0.0000;;0.0000;;true;false
