"MPcv";"Hyrcv";"Hyr_";"MPnm";"IRCV";"BT";"note";"pos";"WadaN";"WadaF";"rank";"nmcv";"Orphan";"SpecRules";"Narcotic";"Amb";"Hosp"
"33506-3236";"0016485";"TBA";"Ammonaps";"03236";false;;;;;0;0;false;false;false;true;false
"33753-2303";"0000729";"AFAA";"Amlodipine Krka";"02303";false;;;;;0;0;false;false;false;true;false
"33738-1701";"0025627";"AMA";"Lipertance";"01701";false;;;;;0;0;false;false;false;true;false
"7161-1735";"0013680";"NBABB";"Dedrogyl";"01735";false;;;;;0;0;false;false;false;true;false
"33720-794";"0026161";"KDEF";"Epclusa";"00794";false;;;;;0;0;false;false;false;true;false
"29496-604";"0019794";"MABCB";"Xeloda";"00604";false;;;;;0;0;false;false;false;true;false
"8284-1040";"0014605";"OHCA";"Dovobet";"01040";false;;;"c";"c";0;0;false;false;false;true;false
"29439-1040";"0014605";"OHCA";"Xamiol";"01040";false;;;"c";"c";0;0;false;false;false;true;false
"4135-612";"0001008";"AGBA";"Candesartan EG";"00612";false;;;;;0;0;false;false;false;true;false
"4150-612";"0000166";"AADF";"Candesartan Plus HCT EG";"00612";false;;;"D";"D";0;0;false;false;false;true;false
"4176-1818";"0001008";"AGBA";"Candesartan Teva";"01818";false;;;;;0;0;false;false;false;true;false
"6007-1818";"0000166";"AADF";"Co-Candesartan Teva";"01818";false;;;"D";"D";0;0;false;false;false;true;false
"24935-1446";"0006023";"FHA";"Sostilar";"01446";false;;;;;0;0;false;false;false;true;false
"4317-612";"0000901";"AGAA";"Captopril EG";"00612";false;;;;;0;0;false;false;false;true;false
"26096-1347";"0008821";"JGBAA";"Tegretol";"01347";false;;;;;0;0;false;false;false;true;false
"23614-1024";"0013698";"NBABC";"Rocaltrol";"01024";false;;;;;0;0;false;false;false;true;false
"49999-2485";"0005140";"EGAA";"Cinacalcet AB";"02485";false;;;;;0;0;false;false;false;true;false
"33746-794";"0011049";"KDCADA";"Odefsey";"00794";false;;;;;0;0;false;false;false;true;false
"33787-2303";"8901001";"MBCBA";"Imatinib Krka";"02303";false;;;;;0;0;false;false;false;true;false
"33803-2303";"0017954";"HCBE";"Tramadol / Paracetamol Krka";"02303";false;;;"N";"N";0;0;false;false;false;true;false
"15404-273";"0026013";"PFA";"Liposic";"00273";false;;;;;0;0;false;false;false;true;false
"28894-273";"0026013";"PFA";"Vidisic";"00273";false;;;;;0;0;false;false;false;true;false
"14332-273";"0026013";"PFA";"Lacrinorm";"00273";false;;;;;0;0;false;false;false;true;false
"26633-125";"0026013";"PFA";"Thilo-Tears";"00125";false;;;;;0;0;false;false;false;true;false
"4416-67";"0012625";"MAACA";"Carboplatin Accord Healthcare";"00067";false;;;;;0;0;false;false;false;true;false
"4465-1818";"0012625";"MAACA";"Carbosin";"01818";false;;;;;0;0;false;false;false;true;false
"4440-844";"0012625";"MAACA";"Carboplatine Hospira";"00844";false;;;;;0;0;false;false;false;true;false
"7724-1446";"0010462";"KBCA";"Diflucan";"01446";false;;;;;0;0;false;false;false;true;false
"33837-1347";"8900664";"MBCHA";"Mekinist";"01347";false;;;;;0;0;false;false;false;true;false
"33894-612";"0012526";"LDAAH";"Rupatadine EG";"00612";false;;;;;0;0;false;false;false;true;false
"33902-1602";"0013946";"OAAL";"Hospaq";"01602";false;;;;;0;0;false;false;false;true;false
"4523-612";"0000620";"AEC";"Carvedilol EG";"00612";false;;;"B";"B";0;0;false;false;false;true;false
"33845-2303";"0000141";"AADD";"Ramipril / HCTZ Krka";"02303";false;;;"D";"D";0;0;false;false;false;true;false
"33852-2303";"0000976";"AGAH";"Ramipril Krka";"02303";false;;;;;0;0;false;false;false;true;false
"24729-1164";"0004010";"DBBAB";"Siroxyl Carbocisteïne";"01164";false;;;;;0;0;false;false;false;true;false
"33860-1818";"0001040";"AGBE";"Olmesartan Teva";"01818";false;;;;;0;0;false;false;false;true;false
"33910-828";"0026260";"LABEA";"Bexsero";"00828";false;;;;;0;0;false;false;false;true;false
"33886-67";"0010512";"KBCF";"Voriconazole Accord";"00067";false;;;;;0;0;false;false;false;true;false
"33951-2303";"0000166";"AADF";"Olmesartan / HCTZ Krka";"02303";false;;;"D";"D";0;0;false;false;false;true;false
"33969-612";"0000166";"AADF";"Olmesartan Plus HCT EG";"00612";false;;;"D";"D";0;0;false;false;false;true;false
"33936-1628";"8900664";"MBCHA";"Cotellic";"01628";false;;;;;0;0;false;false;false;true;false
"14282-604";"0000620";"AEC";"Kredex";"00604";false;;;"B";"B";0;0;false;false;false;true;false
"33761-67";"8901001";"MBCBA";"Imatinib Accord";"00067";false;;;;;0;0;false;false;false;true;false
"11593-2485";"0012864";"MABCF";"Gemcitabine Eugia";"02485";false;;;;;0;0;false;false;false;true;false
"34009-612";"0001040";"AGBE";"Olmesartan EG";"00612";false;;;;;0;0;false;false;false;true;false
"34017-2303";"0001040";"AGBE";"Olmesartan Krka";"02303";false;;;;;0;0;false;false;false;true;false
"34025-1636";"0001040";"AGBE";"Olmesartan Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"34033-2303";"0001875";"BAABAA";"Clopidogrel Krka";"02303";false;;;;;0;0;false;false;false;true;false
"34074-67";"0013052";"MADAA";"Irinotecan Accord";"00067";false;;;;;0;0;false;false;false;true;false
"50005-612";"0001503";"AKA";"Diosmine / Hesperidine EG";"00612";false;;;;;0;0;false;false;false;true;false
"4549-1636";"0000620";"AEC";"Carvedilol Sandoz";"01636";false;;;"B";"B";0;0;false;false;false;true;false
"34116-935";"0026286";"ANE";"Uptravi";"00935";false;;;;;0;0;false;false;false;true;false
